,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物型態,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址,floor,lon,lat
3151,109,正榮街113號十一樓,中正區,0.0,房地(土地+建物)+車位,1090917,1090721,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,67708,False,11,121.76369589999999,25.142240599999997
3152,109,中和路168巷5弄27號,安樂區,23.0,房地(土地+建物),1090930,0860401,公寓(5樓含以下無電梯),3,1,1,,無,44850,False,1,121.71674709999999,25.150255899999994
3153,109,百五街53號6樓,七堵區,29.0,房地(土地+建物)+車位,1090928,0800916,華廈(10層含以下有電梯),4,1,2,坡道平面,有,58106,False,6,121.69666119999998,25.084047399999996
3154,109,孝二路29巷15之1號,仁愛區,40.0,房地(土地+建物),1090926,0690917,公寓(5樓含以下無電梯),0,0,0,,無,60833,False,1,121.73909029999999,25.128776499999994
3155,109,東勢街26巷82之1號7樓,暖暖區,0.0,房地(土地+建物),1090927,1090331,住宅大樓(11層含以上有電梯),2,2,1,,有,70131,False,7,121.73811409999998,25.095723999999997
3156,109,基金一路208巷154弄7號5樓,安樂區,26.0,房地(土地+建物),1090916,0831015,華廈(10層含以下有電梯),4,2,2,,有,28037,False,5,121.70867530000001,25.1474752
3157,109,碇內街110號10樓,暖暖區,25.0,房地(土地+建物)+車位,1090920,0840105,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,38602,False,10,121.7543859,25.094624
3158,109,武嶺街304號,安樂區,42.0,房地(土地+建物),1090909,0670215,公寓(5樓含以下無電梯),0,0,0,,無,53282,False,1,121.7097496,25.1388367
3159,109,正義路30巷20弄8號,中正區,45.0,房地(土地+建物),1090928,0640103,公寓(5樓含以下無電梯),3,1,1,,無,39809,False,1,121.74777379999999,25.133163399999997
3160,109,深溪路36巷60弄4號3樓,信義區,25.0,房地(土地+建物)+車位,1090930,0840525,華廈(10層含以下有電梯),4,2,2,坡道平面,有,38217,False,3,121.78313785,25.13204755
3161,109,觀海街107號10樓,中正區,21.0,房地(土地+建物)+車位,1090918,0880114,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,31869,False,10,121.79327260000001,25.138191199999994
3162,109,愛六路33號2樓,仁愛區,41.0,房地(土地+建物),1090928,0680607,公寓(5樓含以下無電梯),4,0,2,,無,68154,False,2,121.74741290000001,25.128172400000004
3163,109,碇內街188之6號14樓,暖暖區,7.0,房地(土地+建物)+車位,1090925,1020911,住宅大樓(11層含以上有電梯),3,2,1,坡道平面,有,45163,False,14,121.75424419999999,25.0920465
3164,109,東新街82之11號9樓,七堵區,1.0,房地(土地+建物)+車位,1090909,1080213,住宅大樓(11層含以上有電梯),4,2,2,坡道平面,有,76809,False,9,121.65350005,25.070301100000005
3165,109,中和路168巷14弄25號4樓,安樂區,25.0,房地(土地+建物),1090929,0840117,公寓(5樓含以下無電梯),3,2,2,,無,21031,False,4,121.7141352,25.1512602
3166,109,深澳坑路172巷87之34號,信義區,22.0,房地(土地+建物),1090810,0870610,公寓(5樓含以下無電梯),3,2,2,,無,37730,False,1,121.78611169999998,25.124759999999995
3167,109,觀海街32號,中正區,21.0,房地(土地+建物)+車位,1090804,0880114,住宅大樓(11層含以上有電梯),3,1,2,坡道平面,有,32839,False,1,121.7940522,25.137884099999997
3168,109,中山一路241巷96號,中山區,48.0,房地(土地+建物),1090809,0610412,透天厝,3,2,2,,無,51440,False,1,121.738299,25.136096
3169,109,中山三路103巷146號4樓,中山區,29.0,房地(土地+建物),1090818,0801115,公寓(5樓含以下無電梯),3,2,1,,無,17914,False,4,121.7454032,25.144307700000002
3170,109,中山一路217巷11號,中山區,47.0,房地(土地+建物),1090805,0621113,公寓(5樓含以下無電梯),1,2,1,,無,55346,False,1,121.73893299999999,25.134213
3171,109,基金一路135巷21弄48號3樓　,安樂區,27.0,房地(土地+建物),1090804,0820902,華廈(10層含以下有電梯),3,2,2,,有,44204,False,3,121.709657,25.139244599999994
3172,109,基金二路1巷198號14樓,安樂區,27.0,房地(土地+建物)+車位,1090811,0820107,住宅大樓(11層含以上有電梯),4,2,2,坡道平面,有,29364,False,14,121.70036400000001,25.141944999999996
3173,109,中山二路51巷41之4號,中山區,36.0,房地(土地+建物),1090802,0730810,公寓(5樓含以下無電梯),2,1,1,,無,21256,False,1,121.73967499999999,25.137705
3174,109,新豐街303巷11弄39號4樓,中正區,26.0,房地(土地+建物)+車位,1090811,0830429,華廈(10層含以下有電梯),3,2,2,坡道平面,有,37398,False,4,121.7882408,25.13489855
3175,109,延平街19之9號,仁愛區,50.0,房地(土地+建物),1090831,0591116,公寓(5樓含以下無電梯),3,1,1,,無,40190,False,1,120.9562588,24.063483249999997
3176,109,深溪路36巷70弄18號,信義區,21.0,房地(土地+建物),1090818,0880120,華廈(10層含以下有電梯),4,2,2,,有,44740,False,1,121.78348899999999,25.1323984
3177,109,深澳坑路166之28號3樓之3,信義區,25.0,房地(土地+建物),1090831,0840127,華廈(10層含以下有電梯),1,0,1,,有,39933,False,3,121.78501440000001,25.126520999999997
3178,109,仁一路59號3樓,信義區,32.0,房地(土地+建物),1090810,0770123,公寓(5樓含以下無電梯),4,2,2,,無,48975,False,3,121.75453250000001,25.127794699999995
3179,109,深溪路38巷5之6號九樓,信義區,3.0,房地(土地+建物)+車位,1090806,1061109,華廈(10層含以下有電梯),2,1,1,坡道平面,有,68723,False,9,121.78262830000001,25.1321846
3180,109,華六街17號二樓之一,仁愛區,20.0,房地(土地+建物),1090810,0890718,華廈(10層含以下有電梯),2,1,1,,有,53462,False,2,121.07661310000002,23.85338015
3181,109,中和路85巷25號3樓之2,安樂區,23.0,房地(土地+建物)+車位,1090826,0860508,住宅大樓(11層含以上有電梯),3,2,1,坡道機械,有,41442,False,3,121.7218821,25.1483217
3182,109,中和路168巷10弄30號5樓,安樂區,25.0,房地(土地+建物),1090815,0840117,公寓(5樓含以下無電梯),3,2,2,,無,19909,False,5,121.71622005,25.1502384
