,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物型態,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址
9533,110,東信路3巷95之1號,信義區,41.0,房地(土地+建物),1100322,0690604,公寓(5樓含以下無電梯),0,0,0,,無,57928,False
9534,110,深澳坑路2巷18號11樓,信義區,25.0,房地(土地+建物),1100312,0850426,住宅大樓(11層含以上有電梯),3,2,2,,有,39399,False
9535,110,觀海街191號15樓,中正區,22.0,房地(土地+建物),1100306,0880114,住宅大樓(11層含以上有電梯),1,1,1,,有,38820,False
9536,109,觀海街175號9樓,中正區,21.0,房地(土地+建物),1091203,0880114,住宅大樓(11層含以上有電梯),2,2,2,,有,42415,False
9537,110,中和路168巷9弄41號2樓,安樂區,26.0,房地(土地+建物),1100315,0840117,公寓(5樓含以下無電梯),3,2,1,,無,33372,False
9538,110,中和路85巷26之1號,安樂區,24.0,房地(土地+建物)+車位,1100310,0860508,住宅大樓(11層含以上有電梯),4,2,2,坡道平面,有,45090,False
9539,110,泰和街74之3號,七堵區,31.0,房地(土地+建物),1100315,0790505,公寓(5樓含以下無電梯),4,3,2,,無,26819,False
9540,110,復興路212巷21弄79號,中山區,50.0,房地(土地+建物),1100301,0600507,透天厝,3,2,1,,無,36364,False
9541,110,深澳坑路166之23號3樓,信義區,26.0,房地(土地+建物),1100209,0840127,華廈(10層含以下有電梯),3,1,2,,有,40007,False
9542,110,觀海街166號9樓,中正區,22.0,房地(土地+建物),1100228,0880114,住宅大樓(11層含以上有電梯),3,2,2,,有,27928,False
9543,110,深溪路55巷116號,信義區,22.0,房地(土地+建物),1100313,0880122,公寓(5樓含以下無電梯),3,2,2,,無,55033,False
9544,110,樂利三街75號7樓,安樂區,24.0,房地(土地+建物)+車位,1100323,0860117,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,38214,False
9545,110,正信路227巷21弄49號5樓,信義區,24.0,房地(土地+建物)+車位,1100326,0860607,華廈(10層含以下有電梯),4,2,2,坡道平面,有,29596,False
9546,110,長安街247巷20號5樓,七堵區,24.0,房地(土地+建物),1100325,0860815,公寓(5樓含以下無電梯),2,1,1,,無,31694,False
9547,110,觀海街103號11樓,中正區,22.0,房地(土地+建物)+車位,1100313,0880114,住宅大樓(11層含以上有電梯),2,1,1,坡道平面,有,28433,False
9548,110,觀海街20號,中正區,22.0,房地(土地+建物)+車位,1100325,0880114,住宅大樓(11層含以上有電梯),4,2,2,坡道平面,有,36899,False
9549,110,觀海街83號5樓,中正區,22.0,房地(土地+建物)+車位,1100402,0880114,住宅大樓(11層含以上有電梯),2,2,2,坡道平面,有,36546,False
