,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物型態,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址
5866,107,臺北市大同區民權西路300號11樓之1,大同區,1.0,房地(土地+建物)+車位,1070710,1060314,住宅大樓(11層含以上有電梯),3,2,2,升降機械,有,198714,False
5867,107,臺北市內湖區行善路25巷1弄1號七樓,內湖區,20.0,房地(土地+建物),1070531,0870506,華廈(10層含以下有電梯),3,2,2,,有,122075,False
5868,107,臺北市內湖區康樂街186巷46號二樓,內湖區,32.0,房地(土地+建物),1070707,0750117,公寓(5樓含以下無電梯),3,2,1,,無,109074,False
5869,107,臺北市中山區新生北路二段60巷2號七樓之6,中山區,37.0,房地(土地+建物),1070721,0701228,套房(1房1廳1衛),1,1,1,,無,121090,False
5870,107,臺北市中山區林森北路263號9樓,中山區,36.0,房地(土地+建物),1070717,0710707,套房(1房1廳1衛),1,1,1,,無,135998,False
5871,107,臺北市內湖區大湖山莊街176巷18號12樓之2,內湖區,10.0,房地(土地+建物)+車位,1070714,0971127,套房(1房1廳1衛),1,1,1,坡道平面,無,167209,False
5872,107,臺北市內湖區內湖路一段411巷90弄27號5樓之1,內湖區,9.0,房地(土地+建物)+車位,1070719,0981204,華廈(10層含以下有電梯),2,1,1,升降機械,有,189125,False
5873,107,臺北市內湖區康寧路一段156巷32弄27號4樓,內湖區,41.0,房地(土地+建物),1070707,0661110,公寓(5樓含以下無電梯),2,2,1,,無,144653,False
5874,107,臺北市內湖區新豐街101號二樓,內湖區,4.0,房地(土地+建物)+車位,1070501,1031022,住宅大樓(11層含以上有電梯),4,2,4,坡道平面,有,273888,False
5875,107,臺北市中山區龍江路271巷9號四樓,中山區,42.0,房地(土地+建物),1070625,0650612,公寓(5樓含以下無電梯),3,2,2,,無,152734,False
5877,107,臺北市內湖區星雲街161巷2號十一樓之1,內湖區,13.0,房地(土地+建物)+車位,1070717,0940712,住宅大樓(11層含以上有電梯),3,2,1,坡道平面,有,178531,False
5878,107,臺北市南港區興中路28巷6號14樓,南港區,6.0,房地(土地+建物)+車位,1070705,1011001,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,180751,False
5879,107,臺北市南港區重陽路125巷36弄17號四樓,南港區,9.0,房地(土地+建物)+車位,1070706,0980921,華廈(10層含以下有電梯),4,2,2,坡道平面,有,147499,False
