,土地位置建物門牌,屋齡,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,電梯,單價元平方公尺,修正地址,lon,lat
3215,臺北市大安區四維路182巷3號六樓,41,3,2,2,有,295370,False,121.54777589999998,25.027631799999998
3217,臺北市大安區復興南路二段90巷12號十樓之6,14,1,0,1,有,366093,False,121.5424279,25.030196399999998
3218,臺北市大安區安和路一段100號,44,0,0,0,有,546798,False,121.55229639999999,25.034399999999998
3363,臺北市大安區師大路92巷1號四樓,37,4,2,2,有,235644,False,121.5275422,25.022655699999998
3503,臺北市大安區大安路二段80號五樓之2,1,3,2,2,有,435627,False,121.54577160000001,25.031634000000004
3504,臺北市大安區敦化南路一段200號五樓之17,49,1,1,1,有,328146,False,121.5485113,25.042114699999996
3505,臺北市大安區和平東路二段90巷2號八樓之5,40,0,0,0,有,289017,False,121.53961299999999,25.025102999999998
3506,臺北市大安區建國南路一段212巷13號四樓,44,2,2,2,有,323293,False,121.53700280000001,25.0398513
3640,臺北市大安區安和路二段60號三樓之3,43,2,2,1,有,326230,False,121.5520983,25.0304212
3683,臺北市大安區大安路二段80號八樓之2,1,3,2,2,有,434592,False,121.54577160000001,25.031634000000004
3685,臺北市大安區安和路一段112巷27號二樓,40,3,2,2,有,264170,False,121.55037779999999,25.034036800000003
3733,臺北市大安區忠孝東路三段248巷11號,40,3,2,1,有,346601,False,121.54143659999998,25.040934500000002
3736,臺北市大安區仁愛路四段37之125號,50,4,2,2,有,332704,False,121.5465425,25.038176
