消防隊名稱,地址,聯絡電話,X座標_TWD97TM121,Y座標_TWD97TM121,,,,,,,,,,,,,,,,,,,
桃園市政府消防局中路分隊,桃園市桃園區國豐六街96號,03-3441714,121.27792949154626,24.98987463977136,,,,,,,,,,,,,,,,,,,
桃園市政府消防局大林分隊,桃園市桃園區樹仁二街39號,03-3612240,121.32049089181567,24.97806003039627,,,,,,,,,,,,,,,,,,,
桃園市政府消防局八德分隊,桃園市八德區介壽路二段685巷10號,03-3681440,121.29845068165379,24.939250165288918,,,,,,,,,,,,,,,,,,,
桃園市政府消防局大湳分隊,桃園市八德區建國路1133號,03-3661570,121.29693412026027,24.95711617973317,,,,,,,,,,,,,,,,,,,
桃園市政府消防局龜山分隊,桃園市龜山區萬壽路二段639號,03-3299674,121.3463295963386,24.99923895200915,,,,,,,,,,,,,,,,,,,
桃園市政府消防局坪頂分隊,桃園市龜山區復興三路80號,03-3280309,121.3736695553433,25.052373788078064,,,,,,,,,,,,,,,,,,,
桃園市政府消防局迴龍分隊,桃園市龜山區萬壽路一段42號,02-82091576,121.41001364435012,25.02041797364577,,,,,,,,,,,,,,,,,,,
桃園市政府消防局第二救災救護大隊,桃園市中壢區義民路120號,03-4013312,121.21553012762426,24.953249385968373,,,,,,,,,,,,,,,,,,,
桃園市政府消防局中壢分隊,桃園市中壢區義民路120號,03-4013312,121.21553012762426,24.953249385968373,,,,,,,,,,,,,,,,,,,
桃園市政府消防局華勛分隊,桃園市中壢區榮民南路800號,03-4567991,121.25621459642196,24.94014854246848,,,,,,,,,,,,,,,,,,,
桃園市政府消防局內壢分隊,桃園市中壢區吉林路62號,03-4521694,121.2481495053379,24.980323142491187,,,,,,,,,,,,,,,,,,,
桃園市政府消防局龍岡分隊,桃園市中壢區龍岡路三段754號,03-4501498,121.24352789521762,24.925822947000665,,,,,,,,,,,,,,,,,,,
桃園市政府消防局楊梅分隊,桃園市楊梅區新農街245巷20號,03-4782294,121.15254462521762,24.910668007203107,,,,,,,,,,,,,,,,,,,
桃園市政府消防局幼獅分隊,桃園市楊梅區幼獅路一段456號,03-4829119,121.1763068910819,24.925784606078878,,,,,,,,,,,,,,,,,,,
桃園市政府消防局富岡分隊,桃園市楊梅區員本里12鄰員德路20號,03-2821184,121.0890115805583,24.936267761556593,,,,,,,,,,,,,,,,,,,
桃園市政府消防局新屋分隊,桃園市新屋區中華路436號,03-4772509,121.10647623111629,24.976506961003253,,,,,,,,,,,,,,,,,,,
