,交易年份,土地位置建物門牌,屋齡,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,電梯,單價元平方公尺,修正地址
4349,110,臺北市中山區長春路378號十六樓之1,25,3,2,2,有,215300,False
4356,110,臺北市中山區合江街55巷23號三樓,40,3,2,2,無,198955,False
4360,110,臺北市中山區林森北路107巷86之1號,49,0,0,0,有,452277,False
4398,110,臺北市中山區大直街94巷1弄25號四樓,33,3,2,2,無,195318,False
4399,110,臺北市中山區新生北路二段38號九樓之7,25,2,2,1,有,214100,False
4438,110,臺北市中山區新生北路二段73號七樓之20,42,1,1,1,有,165317,False
4474,110,臺北市中山區林森北路657號三樓之3,17,1,1,1,有,189173,False
4478,110,臺北市中山區中原街118號三樓,55,7,0,7,無,174134,False
4517,110,臺北市中山區德惠街34號十一樓之4,42,1,1,1,有,186760,False
4525,110,臺北市中山區中山北路一段53巷8號十一樓之1,13,1,1,1,有,249610,False
4564,110,臺北市中山區松江路562號二樓之14,25,1,1,1,有,151674,False
4604,110,臺北市中山區龍江路383號五樓,37,3,2,2,無,145221,False
4606,110,臺北市中山區民權東路二段92巷1弄9號之1,29,3,2,1,有,252091,False
4609,110,臺北市中山區錦州街426巷1弄23號二樓,40,5,0,5,無,189653,False
4655,110,臺北市中山區民權東路三段84號六樓,35,4,2,2,有,215078,False
4659,110,臺北市中山區林森北路479號三樓之5,18,0,0,0,有,186062,False
4701,110,臺北市中山區林森北路416巷3號三樓之8,47,1,1,1,有,137853,False
4705,110,臺北市中山區德惠街45號六樓之7,42,1,1,1,有,151349,False
4706,110,臺北市中山區民生東路二段119號六樓,45,2,1,2,有,197376,False
4751,110,臺北市中山區龍江路410號二樓,43,2,2,1,無,171385,False
4752,110,臺北市中山區民生東路二段83號五樓之37,41,1,1,1,有,166738,False
4753,110,臺北市中山區民生東路一段25號十一樓之6,41,0,0,0,有,150692,False
4863,110,臺北市中山區敬業三路162巷3號十樓,21,3,2,2,有,185292,False
4870,110,臺北市中山區新生北路二段36號十七樓之2,25,1,2,1,有,199447,False
4873,110,臺北市中山區天祥路16巷15號三樓之2,51,1,1,1,有,187861,False
4874,110,臺北市中山區天祥路16巷15號三樓之3,51,1,1,1,有,193487,False
4877,110,臺北市中山區建國北路三段141號七樓,33,1,1,1,有,215827,False
4878,110,臺北市中山區松江路164巷63號三樓之1,6,2,1,1,有,263118,False
4909,110,臺北市中山區復興北路50號十二樓之1,40,2,2,1,有,239492,False
4914,110,臺北市中山區民生東路一段72號九樓之6,40,1,1,1,有,184607,False
4922,110,臺北市中山區中山北路二段183巷32號六樓,35,3,2,2,有,201419,False
4923,110,臺北市中山區北安路621巷6弄16號五樓,36,4,2,2,無,164362,False
4968,110,臺北市中山區新生北路二段73號四樓之7,42,1,0,1,有,196152,False
4974,110,臺北市中山區新生北路三段46號十樓之4,40,1,1,1,有,212069,False
4975,110,臺北市中山區長安東路一段20號三樓之5、三樓之6,14,2,2,1,有,215913,False
5015,110,臺北市中山區農安街34號五樓之18,42,0,0,0,有,170648,False
5018,110,臺北市中山區新生北路三段11巷44號四樓,37,5,3,2,無,199047,False
5023,110,臺北市中山區中山北路二段115巷3弄17號三樓,47,2,2,1,無,172592,False
5060,110,臺北市中山區林森北路409號十二樓之13,39,1,1,1,有,136373,False
5105,110,臺北市中山區復興南路一段44號八樓,40,0,2,2,有,257946,False
5141,110,臺北市中山區龍江路397巷13號二樓,34,3,2,2,有,230816,False
5142,110,臺北市中山區建國北路三段66號七樓,35,3,2,2,有,185393,False
5143,110,臺北市中山區林森北路413號五樓之17,37,0,0,0,有,113469,False
5148,110,臺北市中山區新生北路二段51號十一樓,12,4,2,2,有,226913,False
5185,110,臺北市中山區安東街16巷18弄2號四樓,51,5,1,2,無,212376,False
5186,110,臺北市中山區龍江路384巷16號五樓,41,3,2,2,無,168514,False
5194,110,臺北市中山區民權東路三段46號九樓之1,37,2,2,2,有,212197,False
5233,110,臺北市中山區大直街57巷9之1號二樓,35,4,0,4,無,216459,False
5236,110,臺北市中山區中山北路一段53巷26號五樓之5,13,1,1,1,有,241322,False
5242,110,臺北市中山區民生西路45巷7弄8號二樓,46,2,2,1,無,201410,False
5243,110,臺北市中山區民生西路45巷7弄8號三樓,46,2,2,1,無,201410,False
5250,110,臺北市中山區建國北路二段35號六樓之8,33,1,2,1,有,259086,False
5289,110,臺北市中山區民生東路二段147巷11弄16號三樓,49,3,2,2,無,200843,False
5290,110,臺北市中山區民生東路二段119號三樓之1,45,2,1,1,有,229709,False
5298,110,臺北市中山區中山北路二段77巷17號七樓之1,12,3,2,1,有,248399,False
5302,110,臺北市中山區中山北路二段84巷43號四樓,45,6,0,6,無,191287,False
5349,110,臺北市中山區林森北路416巷1號四樓之4,45,0,0,0,有,149925,False
5355,110,臺北市中山區中山北路一段53巷20號四樓之2,44,1,1,1,有,134807,False
5403,110,臺北市中山區林森北路657號四樓之1,17,1,1,1,有,201366,False
5408,110,臺北市中山區民權東路三段56號八樓之1,37,2,1,1,有,253357,False
5450,110,臺北市中山區林森北路483號三樓之9,18,1,1,1,有,197951,False
5454,110,臺北市中山區松江路170巷6號三樓,54,3,2,1,無,212488,False
5455,110,臺北市中山區林森北路259巷9號七樓之19,37,1,1,1,有,177506,False
5458,110,臺北市中山區林森北路107巷87號五樓之1,40,3,1,3,無,165769,False
5463,110,臺北市中山區復興北路516號五樓之2,38,2,2,2,有,214313,False
5515,110,臺北市中山區民權東路二段9號十二樓之2,42,3,2,1,有,201317,False
5516,110,臺北市中山區吉林路298號二樓,47,6,0,6,有,188540,False
