,公司名稱,分公司名稱,分公司地址,分公司狀態,修正地址,lon,lat
141,全聯實業股份有限公司,中山長春分公司,臺北市中山區長春路258巷6號,1,False,121.53882899999999,25.0541332
142,全聯實業股份有限公司,台中東海分公司,臺中市龍井區新興路87號,1,False,120.584922,24.181827299999995
143,全聯實業股份有限公司,新埔捷運分公司,新北市板橋區文化路1段360號地下1層之31、32,1,False,121.4687999,25.0236277
144,全聯實業股份有限公司,長治潭頭分公司,屏東縣長治鄉新潭村潭頭路86號,1,False,120.5254434,22.675534499999998
145,全聯實業股份有限公司,台中大鵬分公司,臺中市西屯區大鵬路107號,1,False,120.66331209999998,24.177941699999998
146,全聯實業股份有限公司,信義松隆分公司,臺北市信義區松隆路125號,1,False,121.57183409999999,25.047001099999996
147,全聯實業股份有限公司,內湖葫洲分公司,臺北市內湖區民權東路6段296巷20號,1,False,121.6059503,25.0723353
148,全聯實業股份有限公司,宜蘭校舍分公司,宜蘭縣宜蘭市新東里校舍路116號,1,False,121.76212375000001,24.75160805
149,全聯實業股份有限公司,中和宜安分公司,新北市中和區安平路109號,1,False,121.5113733,24.997691399999997
150,全聯實業股份有限公司,台中西屯分公司,臺中市西屯區西屯路3段157之1號,1,False,120.6203601,24.186936899999996
151,全聯實業股份有限公司,花蓮太昌分公司,花蓮縣花蓮市建國路2段262、266號,1,False,121.5783905,23.9918613
152,全聯實業股份有限公司,斗六文化分公司,雲林縣斗六市文化路65號,1,False,120.54812899999999,23.7111831
153,全聯實業股份有限公司,美村綠分公司,臺中市西區五權五街68號,1,False,120.6624449,24.136731899999994
154,全聯實業股份有限公司,苓雅正義分公司,高雄市苓雅區正義路248號,1,False,120.34097809999999,22.6326987
155,全聯實業股份有限公司,鳳山武營分公司,高雄市鳳山區武營路236號,1,False,120.33746920000002,22.6112804
157,全聯實業股份有限公司,北投吉利分公司,臺北市北投區吉利街125號1樓,1,False,121.50679419999999,25.118708899999998
158,全聯實業股份有限公司,高雄大昌二分公司,高雄市三民區大昌二路146號,1,False,120.33235,22.644329
160,全聯實業股份有限公司,大園和平分公司,桃園市大園區和平東路65號,1,False,121.1998459,25.061843499999995
161,全聯實業股份有限公司,高雄大樹分公司,高雄市大樹區新鎮路850、858、866號,1,False,120.41754349999998,22.6568476
162,全聯實業股份有限公司,大甲民生分公司,臺中市大甲區民生路13號1樓,1,False,120.626825,24.346505000000004
164,全聯實業股份有限公司,嘉義中埔分公司,嘉義縣中埔鄉和美村司公廍73-1、73-2、73-3、73-4號,1,False,null,null
165,全聯實業股份有限公司,淡水沙崙分公司,新北市淡水區大庄里沙崙路50號,1,False,121.42215340000001,25.1817079
166,全聯實業股份有限公司,台中松五分公司,臺中市北屯區松竹五路180、182、186號,1,False,120.70849309999998,24.174570699999997
167,全聯實業股份有限公司,林口復興分公司,桃園市龜山區文化里復興一路8號B1,1,False,121.36992289999999,25.0604785
168,全聯實業股份有限公司,中正南海分公司,臺北市中正區永昌里南海路102號地下室,1,False,121.50825049999999,25.0280956
169,全聯實業股份有限公司,台南育安分公司,臺南市安南區育安街116、120號,1,False,120.21567569999999,23.047515300000004
170,全聯實業股份有限公司,內湖文德分公司,臺北市內湖區文德路212號地下1層,1,False,121.5839876,25.078242799999998
171,全聯實業股份有限公司,鳳山經武分公司,高雄市鳳山區經武路375、377號,1,False,120.36409309999999,22.6402547
172,全聯實業股份有限公司,松山民有分公司,臺北市松山區民權東路3段140巷15號,1,False,121.54701820000001,25.060483899999998
173,全聯實業股份有限公司,大安民榮分公司,臺北市大安區仁愛路3段24巷12號,1,False,121.53561760000001,25.035162399999994
174,全聯實業股份有限公司,士林蘭雅分公司,臺北市士林區蘭雅里德行東路109巷104號,1,False,121.52890769999999,25.110983200000003
175,全聯實業股份有限公司,員林員集分公司,彰化縣員林市中央里員集路2段269、271號,1,False,120.57610450000001,23.9421734
176,全聯實業股份有限公司,永靖中山分公司,彰化縣永靖鄉港西村永社路291號,1,False,120.5458516,23.916943099999997
